controller,scenario,inlier_pct,rmse_m,rot_deg,tx_m,ty_m,icp_iters
fgm,noobs,95.5547,0.0431,-1.6069,0.0580,-0.0239,10.0000
fgm,obstacle1,88.8889,0.0709,-2.1815,0.1084,-0.0423,10.0000
fgm,obstacle2,74.7730,0.0925,0.3590,-0.0247,0.0044,8.0000
fgm,obstacle3,86.2069,0.0612,-2.1450,0.0705,-0.0412,10.0000
stanley,noobs,100.0000,0.0148,-0.3870,0.0099,-0.0037,10.0000
stanley,obstacle1,60.3235,0.1533,-1.6671,0.1485,-0.0171,10.0000
stanley,obstacle2,67.8296,0.1320,2.9251,-0.1544,0.0620,10.0000
stanley,obstacle3,79.1429,0.1130,-1.0886,0.0113,0.0615,10.0000
lattice,noobs,95.6939,0.0506,-1.0703,0.0203,-0.0232,10.0000
lattice,obstacle1,66.1504,0.1118,-3.3504,0.1800,-0.0354,10.0000
lattice,obstacle2,69.8331,0.0900,4.7020,-0.2682,0.1061,10.0000
lattice,obstacle3,71.4099,0.0920,-1.8828,0.0525,-0.0081,10.0000
